location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T08:30:00Z,2020-11-05T14:00:00+05:30,pm25,16.24,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T08:30:00Z,2020-11-05T14:00:00+05:30,o3,26.75,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T08:30:00Z,2020-11-05T14:00:00+05:30,so2,6.96,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T02:45:00Z,2020-11-05T08:15:00+05:30,o3,45.4,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T02:45:00Z,2020-11-05T08:15:00+05:30,co,720,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T02:45:00Z,2020-11-05T08:15:00+05:30,pm25,16.17,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T02:45:00Z,2020-11-05T08:15:00+05:30,so2,7.04,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T02:45:00Z,2020-11-05T08:15:00+05:30,no2,8.92,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T01:30:00Z,2020-11-05T07:00:00+05:30,no2,10.3,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T01:30:00Z,2020-11-05T07:00:00+05:30,pm25,16.71,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T01:30:00Z,2020-11-05T07:00:00+05:30,o3,36.13,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T01:30:00Z,2020-11-05T07:00:00+05:30,co,1070,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-05T01:30:00Z,2020-11-05T07:00:00+05:30,so2,6.69,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T21:30:00Z,2020-11-05T03:00:00+05:30,pm25,22.34,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T21:30:00Z,2020-11-05T03:00:00+05:30,o3,24.53,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T21:30:00Z,2020-11-05T03:00:00+05:30,co,850,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T21:30:00Z,2020-11-05T03:00:00+05:30,so2,6.9,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T21:30:00Z,2020-11-05T03:00:00+05:30,no2,10.28,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T11:15:00Z,2020-11-04T16:45:00+05:30,co,1410,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T11:15:00Z,2020-11-04T16:45:00+05:30,o3,43.09,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T11:15:00Z,2020-11-04T16:45:00+05:30,no2,9.35,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T11:15:00Z,2020-11-04T16:45:00+05:30,so2,7.03,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T11:15:00Z,2020-11-04T16:45:00+05:30,pm25,17.81,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T02:00:00Z,2020-11-04T07:30:00+05:30,co,1030,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T02:00:00Z,2020-11-04T07:30:00+05:30,o3,11.42,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T02:00:00Z,2020-11-04T07:30:00+05:30,pm25,16.96,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T02:00:00Z,2020-11-04T07:30:00+05:30,no2,11.32,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T02:00:00Z,2020-11-04T07:30:00+05:30,so2,6.78,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T00:15:00Z,2020-11-04T05:45:00+05:30,so2,6.88,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T00:15:00Z,2020-11-04T05:45:00+05:30,pm25,17.52,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T00:15:00Z,2020-11-04T05:45:00+05:30,co,710,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T00:15:00Z,2020-11-04T05:45:00+05:30,no2,10.38,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-04T00:15:00Z,2020-11-04T05:45:00+05:30,o3,20.79,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T23:30:00Z,2020-11-04T05:00:00+05:30,co,870,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T23:30:00Z,2020-11-04T05:00:00+05:30,so2,6.82,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T23:30:00Z,2020-11-04T05:00:00+05:30,no2,11.3,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T23:30:00Z,2020-11-04T05:00:00+05:30,o3,40.52,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T23:30:00Z,2020-11-04T05:00:00+05:30,pm25,18.72,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T22:15:00Z,2020-11-04T03:45:00+05:30,no2,9.3,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T22:15:00Z,2020-11-04T03:45:00+05:30,o3,38.94,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T22:15:00Z,2020-11-04T03:45:00+05:30,co,580,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T22:15:00Z,2020-11-04T03:45:00+05:30,so2,7.18,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
